sample_idx,true_label,prefix_state,rank_RL,rank_LLM,rank_FeatFusion,rank_GlobalFusion,logit_RL,logit_LLM,logit_FeatFusion,logit_GlobalFusion,RL_top3,LLM_top3,FeatFusion_top3,GlobalFusion_top3,llm_thinking_process,category,case_score
667,T1074,T1069 || T1069 || T1069 || T1057 || T1012 || T1518 || T1082 || T1016 || T1049 || T1033 || T1007 || T1497 || T1497 || T1021 || T1021 || T1119 || T1115 || T1005 || T1025,2,1,2,1,7.807873725891113,7.187785625457764,7.807873725891113,7.696257591247559,T1125 (7.90) | T1074 (7.81) | T1113 (7.67),T1074 (7.19) | T1056 (6.04) | T1114 (5.31),T1125 (7.90) | T1074 (7.81) | T1113 (7.67),T1074 (7.70) | T1071 (7.01) | T1113 (6.78),"[战术阶段评估]：前缀序列以 T1115 (Data from Local System) 和 T1005 (Data from Local System) 结尾，紧接着是 T1025 (Data from Staged)。这表明攻击者已经完成了对本地系统的初步侦察（T1082, T1016, T1049, T1033, T1007），建立了持久化（T1057, T1012, T1518），并成功建立了远程访问通道（T1021）。最后两步 T1115 和 T1005 明确指向攻击者正在执行数据收集阶段，具体是从本地系统收集敏感信息。T1025 紧随其后，意味着攻击者正在将收集到的数据整理并放置在特定位置（Staged），为后续传输做准备。整个序列处于‘数据收集’向‘数据外传’过渡的关键阶段。

[已获资产推演]：基于 T1021 (Remote Services) 的重复出现，攻击者已拥有对受害主机的远程访问权限（如 RDP, SSH, SMB 等）。结合 T1115 和 T1005 的执行，攻击者已经成功访问并读取了本地文件系统、注册表或特定应用程序的数据。攻击者目前掌握的是‘已收集",cat3_interface_gap_proof,1
688,T1078,T1589 || T1589 || T1598 || T1192 || T1583 || T1583 || T1583 || T1585 || T1588 || T1588 || T1608 || T1608 || T1608 || T1189 || T1566 || T1566 || T1078,2,1,2,1,9.85451889038086,8.764854431152344,9.85451889038086,9.658379554748535,T1059 (9.99) | T1078 (9.85) | T1586 (6.30),T1078 (8.76) | T1059 (6.73) | T1110 (1.24),T1059 (9.99) | T1078 (9.85) | T1586 (6.30),T1078 (9.66) | T1059 (9.40) | T1586 (5.25),"[战术阶段评估]：前缀序列以 T1566 (Spearphishing) 两次，紧接着 T1078 (Valid Accounts) 结束。T1566 代表攻击者通过钓鱼邮件（结合 KG 上下文中的恶意附件/密码保护 ZIP）尝试初始访问。T1078 的出现表明攻击者成功获取了凭据或建立了有效的会话，标志着攻击已从‘初始访问’阶段成功过渡到‘持久化’或‘防御规避’阶段，甚至可能已经完成了横向移动的准备。最后两步的 T1566 重复可能意味着攻击者在尝试不同的载荷或针对不同的用户进行钓鱼，而 T1078 确认了其中一次尝试的成功。

[已获资产推演]：基于 T1078 的达成，攻击者目前至少掌握了一个有效的用户账户（Valid Account）或会话令牌。结合 T1589 (Account Discovery) 和 T1588 (Obtain Capabilities) 在前序中的出现，攻击者可能已经初步了解了目标环境中的账户结构或获取了某些基础能力。当前的资产状态是：拥有合法身份，但尚未明确展示对特定系统资源的深度控制（如未出现 T1021 远程服务或 T1053 计划任务等明显的持久",cat3_interface_gap_proof,1
696,T1543,T1053 || T1053 || T1505 || T1505 || T1078 || T1078 || T1547 || T1060,2,2,2,1,7.612368106842041,4.302933692932129,7.612368106842041,7.016669750213623,T1004 (7.68) | T1543 (7.61) | T1547 (7.49),T1574 (4.43) | T1543 (4.30) | T1004 (3.98),T1004 (7.68) | T1543 (7.61) | T1547 (7.49),T1543 (7.02) | T1004 (7.02) | T1547 (6.59),"[战术阶段评估]：攻击前缀序列显示攻击者首先通过 T1053 (Command and Scripting Interpreter) 执行初始载荷，随后利用 T1505 (Server Software Component) 植入持久化组件（如 Pikabot 的注册表项）。接着，攻击者执行 T1078 (Valid Accounts) 进行身份验证（极可能利用域账户），并再次确认 T1547 (Boot or Logon Autostart Execution) 以建立持久化（如 Reaver 的快捷方式）。最后一步 T1060 (Registry Keys) 表明攻击者正在深入检查或修改注册表，这通常是为了验证持久化是否生效、清理痕迹或配置新的持久化机制。整体处于‘持久化建立与验证’向‘横向移动/权限提升’过渡的阶段。

[已获资产推演]：攻击者已掌握系统级访问权限（通过 T1053/T1505），并成功利用域账户（T1078.002）在目标网络中建立了立足点。T1547 和 T1060 的操作表明攻击者已确认其代码在系统启动时能自动运行，且对注册表配置有完全控制权。此时，攻击者拥",cat3_interface_gap_proof,1
251,T1078,T1133 || T1078 || T1059 || T1059 || T1053 || T1053 || T1547 || T1133 || T1053 || T1053,2,1,2,1,8.070111274719238,4.41372013092041,8.070111274719238,7.411961078643799,T1505 (8.35) | T1078 (8.07) | T1547 (5.49),T1078 (4.41) | T1053 (3.71) | T1547 (3.40),T1505 (8.35) | T1078 (8.07) | T1547 (5.49),T1078 (7.41) | T1505 (7.22) | T1547 (5.11),"[战术阶段评估]：前缀序列以 T1133 (Remote Services) 开始，随后是 T1078 (Valid Accounts) 和 T1059 (Command and Scripting Interpreter)。这表明攻击者已经成功建立了远程连接并获取了执行权限。序列中多次出现 T1053 (Command and Scripting Interpreter: Scheduled Task/Job) 和 T1547 (Boot or Logon Autostart Execution)，特别是最后两步 T1133 || T1053 || T1053，显示攻击者在建立连接后，反复尝试或确认通过计划任务（Scheduled Task）进行持久化。结合 KG Context 中提到的 SpeakUp、Dragonfly 和 Rancor 等恶意软件均利用 T1053 进行持久化，可以判断当前战术阶段处于‘持久化 (Persistence)’的收尾或验证阶段，攻击者正在确保恶意负载在系统重启或用户登录时能自动运行。

[已获资产推演]：基于 T1078 和 T1059 的连续执行",cat3_interface_gap_proof,1
550,T1204,T1053 || T1204 || T1204,2,2,2,1,8.109890937805176,5.284889221191406,8.109890937805176,7.601390838623047,T1047 (8.11) | T1204 (8.11) | T1547 (7.73),T1547 (5.34) | T1204 (5.28) | T1047 (4.81),T1047 (8.11) | T1204 (8.11) | T1547 (7.73),T1204 (7.60) | T1047 (7.52) | T1547 (7.30),"[战术阶段评估]：前缀序列 T1053 (Scheduled Task/Job) 后接两次 T1204 (User Execution)。T1053 通常用于持久化或执行特定命令，而 T1204 代表攻击者诱导用户执行恶意文件（如文档宏、可执行文件）。序列显示攻击者先建立了某种执行机制（T1053），随后通过用户交互（T1204）触发了恶意载荷。这标志着攻击正处于从初始访问/执行向建立持久化或横向移动过渡的关键节点。

[已获资产推演]：基于 T1204 的连续执行，攻击者已经成功诱使用户打开了恶意文件，这意味着恶意代码（Payload）已经在受害者主机上运行。攻击者目前掌握了受害者主机的用户级权限（User Privilege），并可能已经获得了初始的远程访问通道（如 C2 连接）。

[意图图谱映射]：结合 KG Context，RedCurl、Magic Hound 和 RTM 等组织均利用恶意文件/链接作为初始入口。在成功执行恶意文件后，攻击者的标准战术路径是：1. 确保自身在系统中的持久存在（防止重启丢失）；2. 提升权限以获取系统级控制；3. 收集本地凭证或敏感数据；4. ",cat3_interface_gap_proof,1
626,T1057,T1552 || T1087 || T1087 || T1087 || T1217 || T1046 || T1201 || T1120 || T1069 || T1069 || T1069,2,1,2,1,9.907923698425293,7.03645133972168,9.907923698425293,9.391058921813965,T1069 (10.18) | T1057 (9.91) | T1012 (7.52),T1057 (7.04) | T1012 (4.88) | T1082 (4.48),T1069 (10.18) | T1057 (9.91) | T1012 (7.52),T1057 (9.39) | T1069 (9.12) | T1012 (7.05),"[战术阶段评估]：前缀序列以 T1069 (Permission Groups Discovery) 连续三次结束。这表明攻击者已经完成了对本地和域组信息的广泛收集，处于战术阶段 'Discovery' 的末端，正在为后续的权限提升或横向移动做最后的确认。连续三次执行该动作暗示攻击者可能在遍历不同的组别，或者在确认特定高价值组（如 Domain Admins）的成员资格。

[已获资产推演]：基于 T1552 (Credentials from Password Stores), T1087 (Account Discovery), T1217 (Browser), T1046 (Network Service Discovery), T1201 (Password Policy), T1120 (Automated Exfiltration - 此处可能为误标或特定上下文下的凭证扫描), T1069 的序列，攻击者目前掌握了：1. 本地及域账户列表；2. 浏览器中存储的凭证；3. 网络服务信息；4. 密码策略信息；5. 组结构及成员关系。攻击者目前最核心的资产是‘组与用户的映射关系’",cat3_interface_gap_proof,1
659,T1056,T1049 || T1033 || T1007 || T1497 || T1497 || T1021 || T1021 || T1119 || T1115 || T1005 || T1025 || T1074 || T1074,2,1,2,1,8.394099235534668,5.843515396118164,8.394099235534668,7.934994220733643,T1071 (8.94) | T1056 (8.39) | T1113 (8.17),T1056 (5.84) | T1114 (4.75) | T1074 (3.46),T1071 (8.94) | T1056 (8.39) | T1113 (8.17),T1056 (7.93) | T1071 (7.71) | T1113 (7.24),"[战术阶段评估]：前缀序列以 T1025 (Data from Local System) 和 T1074 (Data Staged) 结尾，且 T1074 连续出现两次。这表明攻击者已经完成了对本地数据的收集（T1025），并正在将收集到的数据（如凭证、文件等）集中存储到特定位置（T1074），这是典型的‘数据准备’阶段。结合 KG Context 中提到的 Kobalos 和 Chimera 等恶意软件利用 T1074 进行数据暂存，说明攻击者正在为最终的数据外传做最后的整理和打包。

[已获资产推演]：基于 T1049 (System Information Discovery) 到 T1025 (Data from Local System) 的序列，攻击者已经完成了对目标系统的广泛侦察，并成功获取了本地敏感数据（如 SSH 凭证、配置文件等）。连续执行 T1074 意味着攻击者已经掌握了这些数据的控制权，并将其移动到了攻击者指定的 staging 区域（如 /var/run 或临时目录），此时数据已准备好，但尚未离开目标网络。

[意图图谱映射]：在 ATT&CK 战术逻辑中",cat3_interface_gap_proof,1
795,T1132,T1087 || T1087 || T1083 || T1018 || T1518 || T1007 || T1124 || T1080 || T1550 || T1550 || T1560 || T1560 || T1005 || T1039 || T1113 || T1071 || T1071 || T1132,2,1,2,1,10.815732955932617,10.35965347290039,10.815732955932617,10.733638763427734,T1105 (11.29) | T1132 (10.82) | T1573 (9.67),T1132 (10.36) | T1001 (8.18) | T1573 (7.56),T1105 (11.29) | T1132 (10.82) | T1573 (9.67),T1132 (10.73) | T1105 (10.57) | T1573 (9.29),"[战术阶段评估]：前缀序列最后两步为 T1071 (T1071.001/003/004 等子技术，即网络通信) 和 T1132 (数据编码)。T1071 的重复出现表明攻击者正在建立或维持命令与控制（C2）通道，而紧随其后的 T1132 通常用于对即将传输的数据进行编码（如 Base64），这是典型的 C2 流量特征。这表明攻击者正处于 C2 通信建立或数据回传阶段，而非初始入侵或横向移动阶段。

[已获资产推演]：基于前缀中的 T1087 (账户发现)、T1083 (文件枚举)、T1018 (远程系统发现)、T1518 (软件发现)、T1007 (系统信息发现)、T1124 (系统时间)、T1080 (代理)、T1550 (凭证访问)、T1560 (归档)、T1005 (数据收集)、T1039 (数据从外部服务收集)，攻击者已经完成了广泛的侦察、凭证窃取、数据收集以及初步的代理配置。攻击者目前拥有目标系统的本地管理员或高权限访问权，并已成功收集了敏感数据（可能已打包在 T1560 中）。

[意图图谱映射]：结合 KG Context，T1071 的上下文强调了 Web (HTTP)",cat3_interface_gap_proof,1
752,T1598,T1595 || T1595 || T1592 || T1592 || T1589 || T1589 || T1589 || T1590 || T1590 || T1591 || T1591,2,1,2,1,10.384133338928223,3.6674578189849854,10.384133338928223,9.175130844116211,T1591 (10.84) | T1598 (10.38) | T1594 (8.17),T1598 (3.67) | T1583 (3.33) | T1596 (0.98),T1591 (10.84) | T1598 (10.38) | T1594 (8.17),T1598 (9.18) | T1591 (8.93) | T1583 (6.66),"[战术阶段评估]：前缀序列以 T1590 (收集目标信息) 和 T1591 (识别角色) 的重复操作结束。这表明攻击者正处于侦察阶段（Reconnaissance）的收尾期，且重点已从通用的网络信息收集（T1595, T1592）和外部资源收集（T1589）转向了针对特定组织内部人员结构和权限的精细化分析。最后两步的 T1591 重复出现，暗示攻击者正在验证或细化对关键人员（如管理员、IT 人员）的识别结果。

[已获资产推演]：基于前缀，攻击者目前尚未执行任何初始访问或执行代码的技术。他们掌握的“资产”是宏观的情报数据：目标组织的网络拓扑、域名信息、以及关键人员（特别是拥有高权限的 IT 和系统管理员）的身份、角色和职责。攻击者已经完成了“谁在管什么”的画像。

[意图图谱映射]：结合 KG Context，LAPSUS$、FIN7 和 Volt Typhoon 等高级威胁组织在识别关键角色（T1591）后，其核心意图是利用这些高权限人员的身份进行社会工程学攻击（如钓鱼）或直接利用其凭证进行初始访问。识别角色是实施针对性攻击（Targeted Attack）的前置条件。因此，下一步逻",cat3_interface_gap_proof,1
746,T1082,T1216 || T1216 || T1550 || T1075 || T1550 || T1078 || T1078 || T1056 || T1056 || T1003 || T1003 || T1552 || T1087 || T1087 || T1083 || T1046 || T1135 || T1012 || T1018,2,3,2,1,9.758235931396484,1.8384497165679932,9.758235931396484,8.332674980163574,T1518 (10.15) | T1082 (9.76) | T1210 (8.35),T1033 (2.61) | T1069 (1.84) | T1082 (1.84),T1518 (10.15) | T1082 (9.76) | T1210 (8.35),T1082 (8.33) | T1518 (8.31) | T1210 (7.15),"[战术阶段评估]：分析 Prefix 序列，攻击者经历了初始访问（T1216）、凭证获取（T1550, T1075, T1078）、凭证转储（T1056, T1003）以及信息收集（T1552, T1087, T1083, T1046, T1012）。序列的最后两步是 T1135（网络共享发现）和 T1018（远程系统发现）。这表明攻击者正处于‘侦察与发现’（Discovery）阶段的后期，正在从本地系统向整个网络域进行横向扩展前的关键扫描。T1135 和 T1018 的组合通常意味着攻击者正在绘制网络拓扑，寻找高价值目标（如域控制器、文件服务器）或可横向移动的路径。

[已获资产推演]：基于前缀中的 T1078（有效账户）、T1056/T1003（凭据转储）和 T1087（账户发现），攻击者已经掌握了本地或域内的高权限账户（如域管理员或具有域控权限的账户），并能够访问本地注册表、SAM 数据库及网络共享。他们目前拥有对当前受害主机的完全控制权，并具备向网络中其他主机发起连接的能力。

[意图图谱映射]：结合 KG Context，T1135 和 T1018 是典型的‘网络侦察’技术，",cat3_interface_gap_proof,1
