annotation_id,source_org,pred_micro_state_text,true_label,pred_top1,true_rank,top1_hit,top5_hit,rr,top5_labels
ms_001,apt29,context=post_compromise_discovery ; constraint=environment_not_enumerated ; target=network_configuration ; verb=enumerate,T1016,T1016,1,1,1,1.0,"T1016,T1049,T1069,T1018,T1082"
ms_019,apt29,context=post_compromise_discovery ; constraint=remote_targets_not_identified ; target=remote_host_list ; verb=enumerate,T1018,T1018,1,1,1,1.0,"T1018,T1069,T1016,T1134,T1070"
ms_020,apt29,context=post_compromise_discovery ; constraint=defense_evasion_path_not_established ; target=local_file_data ; verb=masquerade,T1036,T1070,-1,0,0,0.0,"T1070,T1069,T1018,T1016,T1134"
ms_030,apt29,context=post_compromise_discovery ; constraint=current_user_context_not_confirmed ; target=system_information ; verb=enumerate,T1033,T1082,20,0,0,0.05,"T1082,T1069,T1018,T1016,T1087"
ms_031,apt29,context=post_compromise_discovery ; constraint=data_not_staged ; target=exfiltration_channel ; verb=exfiltrate,T1041,T1069,19,0,0,0.05263157894736842,"T1069,T1018,T1134,T1016,T1070"
ms_032,apt29,context=post_compromise_discovery ; constraint=host_service_inventory_not_enumerated ; target=service_inventory ; verb=query,T1007,T1069,10,0,0,0.1,"T1069,T1016,T1018,T1134,T1033"
ms_033,apt29,context=post_compromise_discovery ; constraint=collection_target_not_identified ; target=user_account_context ; verb=enumerate,T1087,T1069,18,0,0,0.05555555555555555,"T1069,T1018,T1016,T1033,T1134"
ms_034,apt29,context=post_compromise_discovery ; constraint=privilege_context_insufficient ; target=system_configuration_store ; verb=modify,T1548,T1134,23,0,0,0.043478260869565216,"T1134,T1547,T1070,T1069,T1018"
ms_035,apt29,context=post_compromise_discovery ; constraint=defense_evasion_path_not_established ; target=system_configuration_store ; verb=modify,T1112,T1070,-1,0,0,0.0,"T1070,T1547,T1069,T1018,T1134"
ms_036,apt29,context=post_compromise_discovery ; constraint=running_processes_not_enumerated ; target=process_inventory ; verb=enumerate,T1057,T1069,-1,0,0,0.0,"T1069,T1018,T1016,T1087,T1049"
ms_041,oilrig,context=post_compromise_discovery ; constraint=credential_material_not_collected ; target=stored_credentials ; verb=dump,T1003,T1003,1,1,1,1.0,"T1003,T1555,T1069,T1018,T1552"
ms_042,oilrig,context=post_compromise_discovery ; constraint=defense_evasion_path_not_established ; target=local_file_data ; verb=disrupt,T1070,T1070,1,1,1,1.0,"T1070,T1069,T1018,T1134,T1016"
ms_043,oilrig,context=post_compromise_discovery ; constraint=credential_material_not_collected ; target=stored_credentials ; verb=collect,T1555,T1056,13,0,0,0.07692307692307693,"T1056,T1552,T1003,T1069,T1018"
ms_044,oilrig,context=internal_host_access ; constraint=persistence_path_not_established ; target=persistence_mechanism ; verb=modify,T1505,T1547,-1,0,0,0.0,"T1547,T1070,T1134,T1069,T1018"
ms_045,oilrig,context=post_compromise_discovery ; constraint=environment_not_enumerated ; target=system_information ; verb=query,T1082,T1016,13,0,0,0.07692307692307693,"T1016,T1069,T1033,T1018,T1134"
ms_046,oilrig,context=post_compromise_discovery ; constraint=remote_targets_not_identified ; target=remote_host_list ; verb=query,T1018,T1018,1,1,1,1.0,"T1018,T1016,T1069,T1033,T1134"
ms_047,oilrig,context=post_compromise_discovery ; constraint=data_not_staged ; target=local_file_data ; verb=exfiltrate,T1041,T1069,23,0,0,0.043478260869565216,"T1069,T1018,T1134,T1016,T1070"
ms_048,oilrig,context=post_compromise_discovery ; constraint=host_service_inventory_not_enumerated ; target=service_inventory ; verb=query,T1007,T1069,10,0,0,0.1,"T1069,T1016,T1018,T1134,T1033"
ms_049,oilrig,context=post_compromise_discovery ; constraint=current_user_context_not_confirmed ; target=system_information ; verb=collect,T1033,T1082,20,0,0,0.05,"T1082,T1069,T1018,T1056,T1134"
ms_050,oilrig,context=internal_host_access ; constraint=remote_execution_path_not_established ; target=command_execution_channel ; verb=execute,T1572,T1021,-1,0,0,0.0,"T1021,T1047,T1134,T1069,T1547"
ms_051,sandworm,context=post_compromise_discovery ; constraint=credential_material_not_collected ; target=stored_credentials ; verb=dump,T1555,T1003,19,0,0,0.05263157894736842,"T1003,T1069,T1552,T1018,T1016"
ms_052,sandworm,context=post_compromise_discovery ; constraint=running_processes_not_enumerated ; target=process_or_file_identity ; verb=disrupt,T1056,T1070,20,0,0,0.05,"T1070,T1069,T1018,T1134,T1016"
ms_053,sandworm,context=post_compromise_discovery ; constraint=credential_material_not_collected ; target=credential_material ; verb=collect,T1056,T1003,2,0,1,0.5,"T1003,T1056,T1069,T1552,T1018"
ms_054,sandworm,context=execution_on_host ; constraint=privilege_context_insufficient ; target=local_file_data ; verb=modify,T1548,T1134,25,0,0,0.04,"T1134,T1070,T1547,T1105,T1069"
ms_055,sandworm,context=post_compromise_discovery ; constraint=defense_evasion_path_not_established ; target=local_file_data ; verb=disrupt,T1070,T1070,1,1,1,1.0,"T1070,T1069,T1018,T1134,T1016"
ms_056,sandworm,context=post_compromise_discovery ; constraint=remote_targets_not_identified ; target=remote_host_list ; verb=enumerate,T1018,T1018,1,1,1,1.0,"T1018,T1069,T1016,T1134,T1070"
ms_057,sandworm,context=post_compromise_discovery ; constraint=remote_targets_not_identified ; target=network_configuration ; verb=enumerate,T1049,T1018,20,0,0,0.05,"T1018,T1016,T1069,T1134,T1070"
ms_058,sandworm,context=post_compromise_discovery ; constraint=host_service_inventory_not_enumerated ; target=local_file_data ; verb=enumerate,T1083,T1007,-1,0,0,0.0,"T1007,T1069,T1018,T1016,T1134"
ms_059,sandworm,context=internal_host_access ; constraint=running_processes_not_enumerated ; target=process_inventory ; verb=disrupt,T1021,T1134,31,0,0,0.03225806451612903,"T1134,T1069,T1547,T1070,T1018"
ms_060,sandworm,context=post_compromise_discovery ; constraint=credential_material_not_collected ; target=local_file_data ; verb=collect,T1552,T1056,23,0,0,0.043478260869565216,"T1056,T1003,T1105,T1069,T1555"
ms_071,turla_carbon,context=post_compromise_discovery ; constraint=collection_target_not_identified ; target=permission_group_context ; verb=enumerate,T1069,T1069,1,1,1,1.0,"T1069,T1018,T1016,T1134,T1070"
ms_072,turla_carbon,context=execution_on_host ; constraint=configuration_modification_path_not_established ; target=local_file_data ; verb=modify,T1189,T1070,-1,0,0,0.0,"T1070,T1547,T1069,T1105,T1003"
ms_073,turla_carbon,context=post_compromise_discovery ; constraint=privilege_context_not_enumerated ; target=permission_group_context ; verb=enumerate,T1069,T1069,1,1,1,1.0,"T1069,T1018,T1016,T1134,T1070"
ms_074,turla_carbon,context=post_compromise_discovery ; constraint=remote_targets_not_identified ; target=command_execution_channel ; verb=execute,T1205,T1018,-1,0,0,0.0,"T1018,T1069,T1021,T1134,T1016"
ms_075,turla_carbon,context=post_compromise_discovery ; constraint=defense_evasion_path_not_established ; target=local_file_data ; verb=disrupt,T1070,T1070,1,1,1,1.0,"T1070,T1069,T1018,T1134,T1016"
ms_076,turla_carbon,context=post_compromise_discovery ; constraint=defense_evasion_path_not_established ; target=local_file_data ; verb=disrupt,T1070,T1070,1,1,1,1.0,"T1070,T1069,T1018,T1134,T1016"
ms_077,turla_carbon,context=post_compromise_discovery ; constraint=credential_material_not_collected ; target=stored_credentials ; verb=dump,T1003,T1003,1,1,1,1.0,"T1003,T1555,T1069,T1018,T1552"
ms_078,turla_carbon,context=internal_host_access ; constraint=remote_execution_path_not_established ; target=command_execution_channel ; verb=execute,T1021,T1047,18,0,0,0.05555555555555555,"T1047,T1134,T1547,T1069,T1018"
ms_080,turla_carbon,context=execution_on_host ; constraint=data_not_staged ; target=local_file_data ; verb=modify,T1105,T1070,21,0,0,0.047619047619047616,"T1070,T1547,T1069,T1003,T1134"
